Measurement_Date;Air_Temperature;Relative_Humidity;Visibility;Air_Pressure_at_Station_Height;Cloud_Cover;Daily_Precipitation_Height;Snow_Height_Daily_Value;Global_Radiation;Vapor_Pressure;Dew_Point_Temperature;Wind_Direction;Wind_Strength
2015-01-29;4.13;80.0;8.67;966.27;5.33;2.1;0.0;;6.6;2.73;20.0;4.0
2015-01-30;2.1;78.33;8.67;954.3;7.33;0.0;0.0;;5.57;0.7;18.67;3.33
2015-01-31;3.47;69.33;8.67;958.03;7.67;0.5;0.0;;5.37;1.3;20.0;3.0
2015-02-01;1.67;86.0;7.33;966.37;7.33;2.2;0.0;;5.9;0.83;20.0;3.67
2015-02-02;1.5;90.67;8.0;975.4;7.33;1.8;0.0;;6.17;0.9;18.67;2.67
2015-02-03;-0.07;87.67;6.33;975.1;8.0;0.0;0.0;;5.3;-0.77;13.33;1.67
2015-02-04;-1.47;74.67;7.67;982.07;4.67;0.0;0.0;;4.03;-2.83;22.67;2.33
2015-02-05;-0.67;68.0;7.67;984.8;8.0;0.0;0.0;;3.97;-2.43;32.0;3.0
2015-02-06;0.13;59.67;7.0;987.7;6.0;0.0;0.0;;3.67;-2.2;13.33;3.0
2015-02-07;-2.0;64.67;6.67;997.13;2.0;0.1;0.0;;3.33;-3.87;22.67;1.0
2015-02-08;-1.83;89.67;5.33;999.67;6.33;1.0;0.0;;4.8;-2.33;29.33;1.33
2015-02-09;1.23;66.0;7.67;1003.0;8.0;0.0;0.0;;4.3;-0.9;12.0;1.67
2015-02-10;2.17;82.67;6.67;1000.67;3.0;0.0;0.0;;5.87;1.0;28.0;1.33
2015-02-11;-1.2;87.67;6.0;996.83;0.67;0.0;0.0;;4.93;-1.83;8.0;1.0
2015-02-12;-2.13;92.0;4.0;994.33;5.33;0.0;0.0;;4.87;-2.47;30.67;1.67
2015-02-13;1.7;87.0;4.67;989.83;5.0;2.0;0.0;;6.03;0.8;20.0;1.0
2015-02-14;7.6;78.0;7.67;981.33;5.33;0.3;0.0;;8.03;5.73;14.67;2.33
2015-02-15;0.37;96.33;3.67;983.63;8.0;0.0;0.0;;6.07;0.13;30.67;1.67
2015-02-16;0.93;92.67;6.0;991.33;8.0;0.0;0.0;;6.07;0.5;28.0;1.33
2015-02-17;-332.6;-271.67;-329.33;334.8;-327.67;0.0;0.0;;-329.1;-332.9;-313.0;-332.0
2015-02-18;-330.3;-285.0;-328.67;339.53;-328.67;0.0;0.0;;-329.1;-331.57;-313.0;-331.67
2015-02-19;1.2;80.0;6.0;1002.2;4.0;0.0;0.0;;5.3;-0.0;26.67;1.33
2015-02-20;5.5;53.67;7.67;987.8;1.33;0.9;0.0;;4.3;1.33;18.67;2.33
2015-02-21;4.57;86.0;6.67;974.3;7.0;5.8;0.0;;7.27;3.57;18.67;3.0
2015-02-22;3.0;88.33;6.0;982.53;8.0;0.2;0.0;;6.7;2.23;26.67;1.33
2015-02-23;4.6;85.67;7.33;974.33;7.33;13.1;0.0;;7.37;3.6;18.67;3.0
2015-02-24;5.03;68.67;8.67;983.0;7.0;1.1;0.0;;5.97;2.73;18.67;3.33
2015-02-25;4.8;69.33;8.0;991.47;3.33;0.0;0.0;;5.83;2.5;20.0;1.67
2015-02-26;5.8;58.0;8.33;990.47;5.33;2.7;0.0;;4.97;2.27;21.33;1.67
2015-02-27;4.07;93.67;6.33;985.67;7.67;13.2;0.0;;7.67;3.67;21.33;1.67
2015-02-28;3.8;79.0;7.33;992.2;4.0;1.5;0.0;;6.23;2.3;25.33;1.67
2015-03-01;8.17;83.67;8.33;982.83;7.67;0.6;0.0;;9.17;6.83;16.0;3.33
2015-03-02;8.2;76.67;8.67;983.5;6.67;1.8;0.0;;8.4;6.3;17.33;3.33
2015-03-03;7.77;54.33;8.67;994.3;5.33;0.9;0.0;;5.6;3.9;18.67;3.33
2015-03-04;4.23;70.67;9.0;999.47;5.33;0.0;0.0;;5.73;2.13;25.33;1.33
2015-03-05;4.43;62.67;8.33;1007.47;7.33;0.0;0.0;;5.07;1.67;32.0;2.0
2015-03-06;3.03;68.33;7.67;1007.87;0.0;0.0;0.0;;5.0;0.63;20.0;1.33
2015-03-07;4.63;67.33;7.67;1003.53;1.67;0.0;0.0;;5.47;1.97;18.67;1.0
2015-03-08;6.07;72.33;7.33;996.97;4.0;0.0;0.0;;6.57;3.6;21.33;1.33
2015-03-09;7.07;71.67;7.0;996.7;3.0;0.0;0.0;;7.07;4.57;25.33;1.33
2015-03-10;7.97;71.33;6.67;998.2;3.67;0.1;0.0;;7.43;5.3;25.33;1.67
2015-03-11;8.7;67.67;6.67;999.1;4.0;0.0;0.0;;7.63;5.97;30.67;2.67
2015-03-12;5.63;55.0;8.0;998.4;1.33;0.0;0.0;;4.47;1.67;18.67;1.67
2015-03-13;4.1;64.33;7.0;991.93;2.67;0.0;0.0;;5.1;1.33;29.33;1.67
2015-03-14;4.8;61.33;6.67;993.03;4.67;0.0;0.0;;4.97;1.67;5.33;1.67
2015-03-15;4.57;69.33;6.0;992.43;3.0;0.0;0.0;;5.67;2.03;12.0;1.0
2015-03-16;5.87;74.67;5.67;993.03;3.67;0.0;0.0;;6.77;3.77;17.33;1.0
2015-03-17;8.2;68.67;5.0;993.67;5.0;0.0;0.0;;7.17;5.13;16.0;1.33
2015-03-18;10.2;65.33;6.0;995.27;2.67;0.0;0.0;;7.73;6.7;12.0;1.33
2015-03-19;8.53;73.67;6.0;995.23;1.67;0.0;0.0;;8.17;6.13;29.33;1.67
2015-03-20;7.23;69.0;5.0;993.27;1.33;0.0;0.0;;6.67;4.37;16.0;1.0
2015-03-21;8.47;67.0;6.0;988.57;-327.67;0.0;0.0;;7.23;5.53;18.67;1.67
2015-03-22;7.7;62.0;6.67;989.67;8.0;0.0;0.0;;6.47;4.6;5.33;2.33
2015-03-23;9.33;60.33;7.0;986.97;4.33;0.0;0.0;;7.03;5.83;30.67;1.67
2015-03-24;9.53;63.0;6.67;979.6;3.0;0.0;-999.0;;7.03;5.67;24.0;1.33
2015-03-25;8.1;78.0;6.67;976.8;8.0;3.3;-999.0;;8.33;6.13;29.33;2.33
2015-03-26;6.87;79.67;7.0;982.87;7.67;0.9;-999.0;;7.9;5.3;18.67;2.33
2015-03-27;8.37;60.33;8.0;992.13;6.33;0.0;-999.0;;6.33;4.83;25.33;2.0
2015-03-28;7.53;68.67;8.33;993.47;7.0;0.3;0.0;;6.9;4.67;14.67;2.67
2015-03-29;11.2;76.33;9.0;983.6;8.0;11.1;0.0;;10.13;9.07;20.0;4.67
2015-03-30;10.6;61.67;8.33;982.47;7.33;0.2;0.0;;7.7;7.0;21.33;2.67
2015-03-31;12.2;65.33;8.33;983.27;4.67;3.0;0.0;;9.4;8.97;21.33;5.67
2015-04-01;5.27;71.33;8.33;995.17;5.33;3.9;0.0;;6.13;3.07;25.33;3.0
2015-04-02;6.33;82.0;7.67;990.8;7.33;9.4;0.0;;7.87;5.0;20.0;4.0
2015-04-03;5.4;78.33;7.33;991.97;4.33;5.0;0.0;;6.97;3.57;22.67;1.67
2015-04-04;5.93;92.67;7.0;985.03;7.67;11.2;0.0;;8.63;5.4;21.33;1.33
2015-04-05;5.5;55.67;7.67;992.63;5.0;0.0;0.0;;4.57;1.8;13.33;2.0
2015-04-06;4.73;55.67;8.0;999.3;4.0;0.0;0.0;;4.5;1.17;29.33;2.33
2015-04-07;7.27;50.67;8.0;1005.87;2.0;0.0;0.0;;4.8;2.9;22.67;2.33
2015-04-08;9.07;55.0;8.0;1002.87;3.33;0.0;0.0;;5.97;4.67;28.0;1.67
2015-04-09;13.37;48.67;8.0;997.93;1.33;0.0;0.0;;6.73;7.47;16.0;1.33
2015-04-10;14.5;47.67;8.33;993.47;3.0;0.0;0.0;;6.63;7.93;14.67;1.67
2015-04-11;13.47;56.67;8.67;996.6;7.33;2.1;0.0;;8.73;9.13;18.67;3.0
2015-04-12;14.1;61.33;8.0;1000.57;3.0;0.0;0.0;;9.13;9.57;21.33;1.67
2015-04-13;13.77;57.0;8.33;1001.67;4.0;0.0;0.0;;8.17;8.73;29.33;1.67
2015-04-14;15.13;51.67;8.67;1000.5;2.67;0.0;0.0;;7.73;9.07;22.67;1.33
2015-04-15;17.97;43.33;8.67;991.2;3.67;0.0;0.0;;7.6;10.23;20.0;2.0
2015-04-16;19.43;38.33;8.67;986.7;4.0;12.1;0.0;;8.37;11.43;18.67;3.0
2015-04-17;11.9;93.0;5.33;986.47;8.0;23.4;0.0;;12.97;11.27;20.0;2.67
2015-04-18;9.9;54.67;8.33;993.1;4.0;0.0;0.0;;6.07;5.4;14.67;2.33
2015-04-19;14.13;31.33;9.0;988.83;1.67;0.0;0.0;;4.7;6.43;9.33;2.33
2015-04-20;13.57;47.33;7.67;995.17;3.0;0.0;0.0;;7.1;7.9;21.33;2.67
2015-04-21;16.23;43.0;8.67;998.67;1.0;0.0;0.0;;7.07;9.1;22.67;1.67
2015-04-22;15.37;48.0;8.0;994.73;2.0;0.0;0.0;;7.8;9.3;25.33;2.0
2015-04-23;12.43;52.67;8.0;988.83;1.33;0.0;0.0;;7.03;7.33;29.33;1.67
2015-04-24;15.37;44.67;8.33;986.47;4.0;0.2;0.0;;6.83;8.57;21.33;1.0
2015-04-25;14.23;76.67;7.0;983.93;7.67;4.6;0.0;;12.37;11.8;24.0;2.33
2015-04-26;16.63;68.33;9.0;979.83;4.0;2.1;0.0;;12.77;13.1;21.33;1.67
2015-04-27;14.93;87.0;7.0;973.83;7.33;12.8;0.0;;14.57;13.47;29.33;2.0
2015-04-28;9.43;75.33;7.0;989.7;7.67;1.2;0.0;;8.77;7.23;26.67;2.0
2015-04-29;11.2;65.33;8.0;989.23;4.33;0.0;0.0;;8.47;7.73;21.33;1.33
2015-04-30;13.3;54.0;8.67;987.97;6.0;16.3;0.0;;8.17;8.67;17.33;3.33
2015-05-01;10.07;96.67;6.33;978.23;7.67;21.8;-999.0;;11.9;9.77;29.33;1.67
2015-05-02;13.1;85.33;7.33;983.67;7.33;7.8;-999.0;;12.8;11.57;26.67;1.67
2015-05-03;16.8;89.0;8.33;979.87;7.67;10.9;-999.0;;17.17;15.67;16.0;2.33
2015-05-04;20.33;63.33;9.0;981.83;6.67;0.0;-999.0;;14.9;15.77;16.0;2.0
2015-05-05;17.9;73.33;9.0;980.07;7.67;1.1;-999.0;;14.87;14.8;21.33;3.0
2015-05-06;16.3;55.67;8.67;988.5;5.67;0.0;-999.0;;9.93;11.2;20.0;3.0
2015-05-07;15.37;49.33;8.67;991.83;4.67;0.0;-999.0;;8.5;9.8;13.33;2.0
2015-05-08;17.03;51.33;8.67;987.3;3.33;0.0;-999.0;;9.8;11.3;16.0;2.0
2015-05-09;17.67;66.0;8.33;993.77;6.33;0.1;-999.0;;13.2;13.77;20.0;3.33
2015-05-10;18.2;52.67;9.0;998.67;1.67;0.0;-999.0;;10.43;12.27;17.33;1.33
2015-05-11;20.9;50.0;8.67;994.63;1.33;0.0;-999.0;;11.43;13.93;20.0;1.67
2015-05-12;23.27;48.0;8.0;990.63;5.0;0.0;-999.0;;12.3;15.33;14.67;2.67
2015-05-13;20.23;59.67;8.0;987.97;5.0;10.1;-999.0;;14.17;15.17;30.67;1.67
2015-05-14;17.8;75.67;8.0;983.83;7.67;34.0;-999.0;;15.3;15.03;28.0;2.0
2015-05-15;9.73;91.0;6.33;987.0;7.67;12.6;-999.0;;11.0;8.97;30.67;1.67
2015-05-16;15.97;73.0;6.67;996.07;7.67;0.4;-999.0;;12.93;12.93;25.33;2.0
2015-05-17;17.17;64.33;8.33;996.1;3.67;0.0;-999.0;;12.23;13.0;22.67;2.0
2015-05-18;17.93;52.33;7.67;984.33;2.0;0.0;-999.0;;9.93;11.87;25.33;3.0
2015-05-19;14.27;63.67;8.67;983.27;8.0;1.5;-999.0;;10.3;10.53;24.0;3.0
2015-05-20;10.63;76.33;8.0;988.17;7.67;4.3;-999.0;;9.73;8.53;21.33;2.33
2015-05-21;13.2;56.0;7.67;995.8;5.0;0.0;-999.0;;8.1;8.53;32.0;2.33
2015-05-22;14.73;45.0;8.0;995.3;3.33;0.0;-999.0;;6.9;8.43;32.0;2.0
2015-05-23;16.13;50.33;8.33;990.1;3.33;0.0;-999.0;;8.8;10.3;13.33;2.0
2015-05-24;17.07;64.67;8.0;989.47;7.33;0.0;-999.0;;12.57;13.13;29.33;1.33
2015-05-25;16.07;73.67;7.67;986.97;7.67;9.6;-999.0;;13.13;13.07;18.67;1.33
2015-05-26;13.0;74.33;7.0;990.87;6.33;0.0;-999.0;;11.07;10.5;30.67;2.33
2015-05-27;13.57;61.67;8.33;995.17;4.33;0.0;-999.0;;9.13;9.43;32.0;1.67
2015-05-28;16.2;57.0;8.33;989.7;5.0;0.0;-999.0;;9.83;11.0;24.0;2.0
2015-05-29;17.73;63.67;8.0;984.4;6.67;0.0;-999.0;;12.63;13.43;14.67;2.33
2015-05-30;15.6;67.67;8.67;988.63;7.33;0.0;-999.0;;11.97;12.2;18.67;2.33
2015-05-31;18.23;58.67;7.67;988.3;5.67;0.0;-999.0;;11.73;13.03;24.0;3.0
2015-06-01;18.23;69.33;8.33;989.2;5.67;0.1;-999.0;;14.57;14.8;25.33;3.0
2015-06-02;22.7;49.33;6.67;990.4;3.67;0.0;-999.0;;13.2;15.67;18.67;3.67
2015-06-03;23.9;44.0;7.33;994.23;1.33;0.0;-999.0;;12.77;15.9;22.67;2.67
2015-06-04;22.47;60.67;7.67;995.53;3.67;0.0;-999.0;;15.97;17.0;30.67;2.0
2015-06-05;26.53;51.0;8.0;991.07;2.0;10.0;-999.0;;17.07;19.0;25.33;1.67
2015-06-06;24.73;63.67;8.0;993.8;3.67;0.0;-999.0;;19.23;19.5;22.67;1.67
2015-06-07;22.7;63.0;7.0;995.93;4.67;3.2;-999.0;;17.23;17.83;30.67;2.33
2015-06-08;15.83;82.33;7.0;994.33;8.0;0.0;-999.0;;14.7;13.97;32.0;2.0
2015-06-09;15.8;70.33;8.33;993.57;7.67;0.0;-999.0;;12.6;12.67;5.33;2.33
2015-06-10;17.8;69.33;8.0;992.7;8.0;0.0;-999.0;;14.03;14.3;30.67;2.0
2015-06-11;22.4;65.0;7.33;988.37;3.0;0.0;-999.0;;17.43;17.73;28.0;1.33
2015-06-12;21.77;72.0;7.33;984.07;4.33;35.2;-999.0;;18.13;17.97;24.0;2.0
2015-06-13;22.0;66.33;7.67;984.53;5.0;0.0;-999.0;;17.17;17.53;25.33;2.33
2015-06-14;21.63;71.33;7.67;981.57;5.33;36.9;-999.0;;18.3;17.97;21.33;1.67
2015-06-15;18.17;88.67;7.0;987.33;7.33;2.2;-999.0;;18.5;16.93;21.33;1.33
2015-06-16;17.27;83.0;7.0;991.3;7.67;0.0;-999.0;;16.27;15.4;29.33;2.0
2015-06-17;17.23;61.67;8.0;994.37;5.0;0.0;-999.0;;12.13;12.87;28.0;2.0
2015-06-18;16.97;79.67;7.67;990.17;7.67;3.9;-999.0;;15.43;14.77;16.0;2.67
2015-06-19;16.1;63.0;8.0;991.13;6.33;3.6;-999.0;;11.23;11.93;21.33;2.0
2015-06-20;14.0;80.0;7.33;992.8;7.67;1.1;-999.0;;12.77;12.0;26.67;1.33
2015-06-21;16.4;79.67;7.67;990.73;7.33;0.0;-999.0;;14.9;14.2;18.67;2.0
2015-06-22;19.47;61.33;7.67;984.23;7.67;3.3;-999.0;;13.9;14.87;18.67;3.0
2015-06-23;15.1;61.33;8.67;987.97;7.0;0.0;-999.0;;10.47;11.03;28.0;1.67
2015-06-24;17.67;58.33;8.0;993.77;2.67;0.0;-999.0;;11.4;12.67;30.67;1.67
2015-06-25;19.73;60.0;8.33;994.73;4.0;0.0;-999.0;;13.23;14.57;29.33;1.67
2015-06-26;22.17;55.0;8.33;993.13;4.67;0.0;-999.0;;14.37;16.1;26.67;1.33
2015-06-27;22.4;58.33;7.67;989.93;6.33;0.4;-999.0;;15.7;16.87;22.67;2.67
2015-06-28;21.8;51.67;8.67;992.9;0.67;0.0;-999.0;;13.1;15.27;28.0;1.33
2015-06-29;23.5;53.33;8.33;993.2;6.67;0.0;-999.0;;14.33;16.57;18.67;1.0
2015-06-30;25.3;55.33;8.0;991.47;1.67;0.0;-999.0;;17.6;18.83;30.67;1.67
2015-07-01;28.57;46.67;8.0;989.87;3.0;0.0;-999.0;;17.23;19.73;21.33;1.33
2015-07-02;29.7;53.67;8.0;991.4;1.67;0.0;-999.0;;22.1;22.2;29.33;1.33
2015-07-03;30.4;48.33;8.0;994.37;4.0;0.0;-999.0;;20.17;21.7;17.33;2.0
2015-07-04;30.3;48.67;7.33;992.43;3.67;0.0;-999.0;;20.07;21.63;18.67;2.0
2015-07-05;31.4;45.67;8.0;987.73;-331.67;0.0;-999.0;;20.13;21.93;-325.0;-331.67
2015-07-06;-317.07;-294.67;8.33;992.87;-329.0;0.0;-999.0;;-321.87;-321.07;-317.0;-331.67
2015-07-07;22.1;71.0;8.0;987.1;3.0;1.2;-999.0;;18.8;18.4;28.0;1.0
2015-07-08;;;;;;0.0;-999.0;;;;;
2015-07-09;20.7;48.0;9.0;993.55;3.5;0.0;-999.0;;11.75;14.1;30.0;2.0
2015-07-10;20.43;54.33;8.0;992.87;1.33;0.0;-999.0;;12.17;14.17;30.67;2.0
2015-07-11;26.47;40.0;7.67;988.7;2.33;0.0;-999.0;;12.57;16.67;22.67;2.67
2015-07-12;23.73;47.0;8.33;991.03;3.67;0.0;-999.0;;13.5;16.23;32.0;1.67
2015-07-13;22.4;56.33;8.0;991.27;6.67;0.0;-999.0;;14.87;16.5;28.0;1.67
2015-07-14;24.53;54.67;8.33;990.83;4.33;0.0;-999.0;;16.03;17.83;26.67;2.0
2015-07-15;25.5;50.33;8.33;990.87;0.33;0.0;-999.0;;15.6;17.9;28.0;1.67
2015-07-16;28.5;42.0;8.33;988.9;1.67;0.0;-999.0;;15.1;18.83;29.33;1.67
2015-07-17;30.17;37.33;8.0;987.63;3.33;0.9;-999.0;;14.5;19.33;25.33;1.67
2015-07-18;25.67;61.67;8.0;989.67;2.33;2.8;-999.0;;19.7;20.0;16.0;1.67
2015-07-19;25.3;60.67;7.33;985.7;6.67;1.0;-999.0;;19.03;19.57;20.0;4.0
2015-07-20;27.13;50.67;8.67;987.37;2.0;0.0;-999.0;;18.03;19.7;22.67;2.33
2015-07-21;28.33;49.33;8.33;987.8;1.33;0.0;-999.0;;18.27;20.17;32.0;1.67
2015-07-22;27.03;64.0;8.0;985.9;4.33;42.3;-999.0;;21.5;21.23;28.0;2.33
2015-07-23;23.13;64.33;8.33;988.43;7.67;0.0;-999.0;;17.83;18.3;25.33;2.0
2015-07-24;25.3;61.0;8.0;981.43;1.33;2.0;-999.0;;19.2;19.57;28.0;1.0
2015-07-25;20.53;51.67;8.67;985.9;5.67;0.0;-999.0;;12.3;14.33;24.0;4.33
2015-07-26;17.0;67.0;7.33;985.83;5.33;2.8;-999.0;;12.67;13.1;24.0;1.67
2015-07-27;20.07;61.33;8.67;981.83;7.33;0.6;-999.0;;14.1;15.2;21.33;3.67
2015-07-28;20.5;51.0;8.67;983.73;5.0;1.1;-999.0;;12.17;14.27;21.33;3.67
2015-07-29;16.73;75.0;9.0;984.33;7.67;2.0;-999.0;;14.13;13.97;14.67;2.0
2015-07-30;16.83;61.33;8.67;988.43;7.33;0.0;-999.0;;11.3;12.23;32.0;1.67
2015-07-31;18.2;56.0;8.33;987.57;4.67;0.0;-999.0;;11.13;12.63;29.33;2.67
2015-08-01;19.6;65.0;8.67;987.33;6.67;0.7;-999.0;;14.77;15.37;20.0;2.33
2015-08-02;23.73;54.0;8.33;990.03;2.67;0.0;-999.0;;14.63;16.8;6.67;1.67
2015-08-03;26.43;46.0;8.33;988.33;2.67;0.0;-999.0;;14.77;17.77;6.67;1.0
2015-08-04;19.93;82.0;8.0;988.67;8.0;0.9;-999.0;;19.13;17.9;13.33;2.33
2015-08-05;24.17;64.0;8.33;988.57;2.0;0.0;-999.0;;18.6;18.87;28.0;1.33
2015-08-06;29.1;49.0;8.33;987.27;4.0;0.0;-999.0;;18.0;20.27;25.33;2.0
2015-08-07;30.8;39.67;8.33;986.47;3.0;0.0;-999.0;;15.87;20.13;29.33;1.67
2015-08-08;27.9;49.33;8.33;990.87;2.67;0.0;-999.0;;18.23;20.0;22.67;1.67
2015-08-09;23.83;70.0;7.33;989.23;7.67;2.3;-999.0;;20.47;19.8;16.0;2.0
2015-08-10;23.5;78.0;7.33;987.53;7.0;0.1;-999.0;;22.27;20.53;21.33;1.67
2015-08-11;25.03;68.0;7.0;988.2;3.67;0.0;-999.0;;20.77;20.3;30.67;2.0
2015-08-12;26.0;66.33;7.33;990.47;1.67;0.0;-999.0;;21.73;21.03;10.67;1.33
2015-08-13;26.97;59.67;7.33;984.63;3.67;4.2;-999.0;;20.33;20.7;18.67;2.0
2015-08-14;21.5;75.33;8.33;983.17;6.0;0.9;-999.0;;19.23;18.47;21.33;1.0
2015-08-15;18.9;68.67;8.67;984.67;6.67;3.1;-999.0;;15.0;15.3;20.0;3.67
2015-08-16;16.17;88.33;8.0;985.93;8.0;2.1;-999.0;;16.17;14.93;12.0;1.33
2015-08-17;17.93;66.0;8.33;985.73;6.33;0.0;-999.0;;13.03;13.77;32.0;1.67
2015-08-18;17.13;63.33;8.67;987.83;5.33;0.0;-999.0;;11.67;12.6;30.67;1.67
2015-08-19;17.8;63.0;8.0;992.13;7.33;0.0;-999.0;;12.47;13.4;29.33;2.0
2015-08-20;18.9;-290.0;8.0;995.1;-330.33;0.0;-999.0;;-325.37;-324.7;20.0;1.33
2015-08-21;20.7;56.0;8.33;994.7;1.0;0.0;-999.0;;12.8;14.63;28.0;2.33
2015-08-22;22.23;52.33;8.33;988.8;1.67;0.0;-999.0;;12.83;15.2;17.33;1.0
2015-08-23;18.97;74.33;8.0;981.03;7.33;11.8;-999.0;;15.97;15.77;18.67;2.0
2015-08-24;19.5;75.67;8.0;979.6;6.67;13.0;-999.0;;16.9;16.5;18.67;2.67
2015-08-25;18.1;54.67;8.33;991.2;2.0;0.0;-999.0;;11.07;12.7;20.0;3.33
2015-08-26;21.07;56.67;8.67;988.6;-332.33;0.0;-999.0;;13.5;15.1;24.0;1.33
2015-08-27;24.63;52.33;8.67;984.47;2.0;0.0;-999.0;;15.7;17.63;21.33;1.67
2015-08-28;25.43;54.0;9.0;990.17;5.0;0.0;-999.0;;17.7;18.93;24.0;2.67
2015-08-29;23.97;69.33;8.0;992.57;1.67;0.0;-999.0;;19.73;19.47;20.0;1.33
2015-08-30;26.67;54.67;8.0;990.33;3.33;0.0;-999.0;;16.7;19.03;26.67;1.33
2015-08-31;26.2;50.0;8.33;986.2;1.0;0.0;-999.0;;15.3;18.0;20.0;2.0
2015-09-01;21.33;67.0;8.33;984.97;7.67;6.7;-999.0;;16.47;16.93;24.0;2.33
2015-09-02;17.17;72.0;7.67;988.5;4.0;0.1;-999.0;;13.53;13.73;29.33;1.67
2015-09-03;17.43;66.0;8.67;986.87;5.67;0.0;-999.0;;12.7;13.4;29.33;1.67
2015-09-04;16.03;58.0;8.33;988.3;3.67;0.0;-999.0;;9.83;11.0;28.0;2.0
2015-09-05;13.7;67.33;9.0;990.73;8.0;2.7;-999.0;;10.27;10.2;20.0;1.33
2015-09-06;13.73;66.0;8.33;996.43;7.67;0.0;-999.0;;10.07;10.2;28.0;1.67
2015-09-07;12.67;67.67;8.33;998.13;3.0;0.0;-999.0;;9.6;9.27;24.0;2.0
2015-09-08;15.77;60.67;8.67;994.27;2.0;0.0;-999.0;;10.17;11.03;4.0;1.67
2015-09-09;16.5;57.33;8.33;991.13;2.33;0.0;-999.0;;9.63;10.93;22.67;1.67
2015-09-10;16.97;47.67;8.67;989.03;3.33;0.0;-999.0;;8.53;10.5;6.67;2.0
2015-09-11;15.67;61.67;8.33;988.2;3.67;0.3;-999.0;;10.17;10.8;25.33;1.67
2015-09-12;19.03;72.67;8.0;987.8;5.33;6.1;-999.0;;15.1;15.3;13.33;2.33
2015-09-13;18.1;85.0;8.0;981.57;6.67;7.6;-999.0;;17.57;16.4;21.33;1.33
2015-09-14;15.43;79.33;8.0;980.0;7.33;3.2;-999.0;;13.93;13.3;16.0;3.33
2015-09-15;15.67;64.67;9.0;981.47;-327.67;1.4;-999.0;;11.33;11.8;18.67;2.33
2015-09-16;17.37;88.0;8.0;971.67;7.67;3.4;-999.0;;17.6;16.03;29.33;1.33
2015-09-17;14.37;87.67;8.0;980.43;5.33;14.2;-999.0;;14.4;13.1;22.67;2.67
