Measurement_Date;Air_Temperature;Relative_Humidity;Visibility;Air_Pressure_at_Station_Height;Cloud_Cover;Daily_Precipitation_Height;Snow_Height_Daily_Value;Global_Radiation;Vapor_Pressure;Dew_Point_Temperature;Wind_Direction;Wind_Strength
30.01.2015;02. Jan;7.833.333.333.333.330;8.666.666.666.666.660;9.543.000.000.000.000;7.333.333.333.333.330;0.0;0.0;;5.566.666.666.666.660;0.7000000000000001;18.666.666.666.666.600;33.333.333.333.333.300
31.01.2015;3.466.666.666.666.660;6.933.333.333.333.330;8.666.666.666.666.660;9.580.333.333.333.330;7.666.666.666.666.660;0.5;0.0;;5.366.666.666.666.660;01. Mrz;20.0;3.0
01.02.2015;16.666.666.666.666.600;86.0;7.333.333.333.333.330;9.663.666.666.666.660;7.333.333.333.333.330;02. Feb;0.0;;58.999.999.999.999.900;0.8333333333333334;20.0;36.666.666.666.666.600
02.02.2015;01. Mai;9.066.666.666.666.660;8.0;975.4;7.333.333.333.333.330;01. Aug;0.0;;6.166.666.666.666.660;0.9;18.666.666.666.666.600;26.666.666.666.666.600
03.02.2015;-0.0666666666666667;8.766.666.666.666.660;6.333.333.333.333.330;975.1;8.0;0.0;0.0;;05. Mrz;-0.7666666666666666;13.333.333.333.333.300;16.666.666.666.666.600
04.02.2015;-14.666.666.666.666.600;7.466.666.666.666.660;7.666.666.666.666.660;9.820.666.666.666.660;4.666.666.666.666.660;0.0;0.0;;4.033.333.333.333.330;-28.333.333.333.333.300;22.666.666.666.666.600;23.333.333.333.333.300
05.02.2015;-0.6666666666666666;68.0;7.666.666.666.666.660;9.847.999.999.999.990;8.0;0.0;0.0;;3.966.666.666.666.660;-24.333.333.333.333.300;32.0;3.0
06.02.2015;0.1333333333333333;59.666.666.666.666.600;7.0;9.876.999.999.999.990;6.0;0.0;0.0;;36.666.666.666.666.600;-21.999.999.999.999.900;13.333.333.333.333.300;3.0
07.02.2015;-2.0;6.466.666.666.666.660;6.666.666.666.666.660;9.971.333.333.333.330;2.0;0.1;0.0;;33.333.333.333.333.300;-3.866.666.666.666.660;22.666.666.666.666.600;1.0
08.02.2015;-18.333.333.333.333.300;8.966.666.666.666.660;5.333.333.333.333.330;9.996.666.666.666.660;6.333.333.333.333.330;1.0;0.0;;04. Aug;-23.333.333.333.333.300;29.333.333.333.333.300;13.333.333.333.333.300
09.02.2015;12.333.333.333.333.300;66.0;7.666.666.666.666.660;1003.0;8.0;0.0;0.0;;04. Mrz;-0.8999999999999999;12.0;16.666.666.666.666.600
10.02.2015;21.666.666.666.666.600;8.266.666.666.666.660;6.666.666.666.666.660;10.006.666.666.666.600;3.0;0.0;0.0;;5.866.666.666.666.660;1.0;28.0;13.333.333.333.333.300
11.02.2015;-1.2;8.766.666.666.666.660;6.0;9.968.333.333.333.330;0.6666666666666666;0.0;0.0;;4.933.333.333.333.330;-18.333.333.333.333.300;8.0;1.0
12.02.2015;-21.333.333.333.333.300;92.0;4.0;9.943.333.333.333.330;5.333.333.333.333.330;0.0;0.0;;4.866.666.666.666.660;-2.466.666.666.666.660;30.666.666.666.666.600;16.666.666.666.666.600
13.02.2015;01. Jul;87.0;4.666.666.666.666.660;9.898.333.333.333.330;5.0;2.0;0.0;;6.033.333.333.333.330;0.7999999999999999;20.0;1.0
14.02.2015;76.000.000.000.000.000;78.0;7.666.666.666.666.660;9.813.333.333.333.330;5.333.333.333.333.330;0.3;0.0;;8.033.333.333.333.330;5.733.333.333.333.330;14.666.666.666.666.600;23.333.333.333.333.300
15.02.2015;0.3666666666666667;9.633.333.333.333.330;36.666.666.666.666.600;9.836.333.333.333.330;8.0;0.0;0.0;;6.066.666.666.666.660;0.13333333333333333;30.666.666.666.666.600;16.666.666.666.666.600
16.02.2015;0.9333333333333332;9.266.666.666.666.660;6.0;9.913.333.333.333.330;8.0;0.0;0.0;;6.066.666.666.666.660;0.5;28.0;13.333.333.333.333.300
17.02.2015;-33.259.999.999.999.900;-2.716.666.666.666.660;-3.293.333.333.333.330;334.8;-3.276.666.666.666.660;0.0;0.0;;-32.909.999.999.999.900;-33.290.000.000.000.000;-313.0;-332.0
18.02.2015;-330.3;-285.0;-3.286.666.666.666.660;33.953.333.333.333.300;-3.286.666.666.666.660;0.0;0.0;;-32.909.999.999.999.900;-33.156.666.666.666.600;-313.0;-3.316.666.666.666.660
19.02.2015;01. Feb;80.0;6.0;10.021.999.999.999.900;4.0;0.0;0.0;;05. Mrz;-9,25E-04;26.666.666.666.666.600;13.333.333.333.333.300
20.02.2015;05. Mai;53.666.666.666.666.600;7.666.666.666.666.660;9.878.000.000.000.000;13.333.333.333.333.300;0.9;0.0;;04. Mrz;13.333.333.333.333.300;18.666.666.666.666.600;23.333.333.333.333.300
21.02.2015;4.566.666.666.666.660;86.0;6.666.666.666.666.660;9.743.000.000.000.000;7.0;05. Aug;0.0;;7.266.666.666.666.660;35.666.666.666.666.600;18.666.666.666.666.600;3.0
22.02.2015;3.0;8.833.333.333.333.330;6.0;9.825.333.333.333.330;8.0;0.2;0.0;;06. Jul;22.333.333.333.333.300;26.666.666.666.666.600;13.333.333.333.333.300
23.02.2015;46.000.000.000.000.000;8.566.666.666.666.660;7.333.333.333.333.330;9.743.333.333.333.330;7.333.333.333.333.330;13. Jan;0.0;;7.366.666.666.666.660;03. Jun;18.666.666.666.666.600;3.0
24.02.2015;5.033.333.333.333.330;6.866.666.666.666.660;8.666.666.666.666.660;983.0;7.0;01. Jan;0.0;;5.966.666.666.666.660;2.733.333.333.333.330;18.666.666.666.666.600;33.333.333.333.333.300
25.02.2015;04. Aug;6.933.333.333.333.330;8.0;9.914.666.666.666.660;33.333.333.333.333.300;0.0;0.0;;5.833.333.333.333.330;02. Mai;20.0;16.666.666.666.666.600
26.02.2015;05. Aug;58.0;8.333.333.333.333.330;9.904.666.666.666.660;5.333.333.333.333.330;02. Jul;0.0;;4.966.666.666.666.660;22.666.666.666.666.600;21.333.333.333.333.300;16.666.666.666.666.600
27.02.2015;4.066.666.666.666.660;9.366.666.666.666.660;6.333.333.333.333.330;9.856.666.666.666.660;7.666.666.666.666.660;13. Feb;0.0;;7.666.666.666.666.660;36.666.666.666.666.600;21.333.333.333.333.300;16.666.666.666.666.600
28.02.2015;38.000.000.000.000.000;79.0;7.333.333.333.333.330;9.922.000.000.000.000;4.0;01. Mai;0.0;;6.233.333.333.333.330;23.000.000.000.000.000;25.333.333.333.333.300;16.666.666.666.666.600
01.03.2015;8.166.666.666.666.660;8.366.666.666.666.660;8.333.333.333.333.330;9.828.333.333.333.330;7.666.666.666.666.660;0.6;0.0;;9.166.666.666.666.660;6.833.333.333.333.330;16.0;33.333.333.333.333.300
02.03.2015;8.200.000.000.000.000;7.666.666.666.666.660;8.666.666.666.666.660;983.5;6.666.666.666.666.660;01. Aug;0.0;;08. Apr;06. Mrz;17.333.333.333.333.300;33.333.333.333.333.300
03.03.2015;7.766.666.666.666.660;54.333.333.333.333.300;8.666.666.666.666.660;9.942.999.999.999.990;5.333.333.333.333.330;0.9;0.0;;56.000.000.000.000.000;03. Sep;18.666.666.666.666.600;33.333.333.333.333.300
04.03.2015;4.233.333.333.333.330;7.066.666.666.666.660;9.0;9.994.666.666.666.660;5.333.333.333.333.330;0.0;0.0;;5.733.333.333.333.330;21.333.333.333.333.300;25.333.333.333.333.300;13.333.333.333.333.300
05.03.2015;4.433.333.333.333.330;62.666.666.666.666.600;8.333.333.333.333.330;10.074.666.666.666.600;7.333.333.333.333.330;0.0;0.0;;5.066.666.666.666.660;16.666.666.666.666.600;32.0;2.0
06.03.2015;30.333.333.333.333.300;6.833.333.333.333.330;7.666.666.666.666.660;10.078.666.666.666.600;0.0;0.0;0.0;;5.0;0.6333333333333333;20.0;13.333.333.333.333.300
07.03.2015;4.633.333.333.333.330;6.733.333.333.333.330;7.666.666.666.666.660;10.035.333.333.333.300;16.666.666.666.666.600;0.0;0.0;;5.466.666.666.666.660;19.666.666.666.666.600;18.666.666.666.666.600;1.0
08.03.2015;6.066.666.666.666.660;7.233.333.333.333.330;7.333.333.333.333.330;9.969.666.666.666.660;4.0;0.0;0.0;;6.566.666.666.666.660;03. Jun;21.333.333.333.333.300;13.333.333.333.333.300
09.03.2015;7.066.666.666.666.660;7.166.666.666.666.660;7.0;9.966.999.999.999.990;3.0;0.0;0.0;;7.066.666.666.666.660;4.566.666.666.666.660;25.333.333.333.333.300;13.333.333.333.333.300
10.03.2015;7.966.666.666.666.660;7.133.333.333.333.330;6.666.666.666.666.660;9.981.999.999.999.990;36.666.666.666.666.600;0.1;0.0;;7.433.333.333.333.330;05. Mrz;25.333.333.333.333.300;16.666.666.666.666.600
11.03.2015;8.700.000.000.000.000;6.766.666.666.666.660;6.666.666.666.666.660;999.1;4.0;0.0;0.0;;7.633.333.333.333.330;5.966.666.666.666.660;30.666.666.666.666.600;26.666.666.666.666.600
12.03.2015;5.633.333.333.333.330;55.0;8.0;998.4;13.333.333.333.333.300;0.0;0.0;;4.466.666.666.666.660;1.666.666.666.666.660;18.666.666.666.666.600;16.666.666.666.666.600
13.03.2015;41.000.000.000.000.000;6.433.333.333.333.330;7.0;9.919.333.333.333.330;26.666.666.666.666.600;0.0;0.0;;51.000.000.000.000.000;13.333.333.333.333.300;29.333.333.333.333.300;16.666.666.666.666.600
14.03.2015;04. Aug;61.333.333.333.333.300;6.666.666.666.666.660;9.930.333.333.333.330;4.666.666.666.666.660;0.0;0.0;;4.966.666.666.666.660;16.666.666.666.666.600;5.333.333.333.333.330;16.666.666.666.666.600
15.03.2015;4.566.666.666.666.660;6.933.333.333.333.330;6.0;9.924.333.333.333.330;3.0;0.0;0.0;;5.666.666.666.666.660;2.033.333.333.333.330;12.0;1.0
16.03.2015;5.866.666.666.666.660;7.466.666.666.666.660;5.666.666.666.666.660;9.930.333.333.333.330;36.666.666.666.666.600;0.0;0.0;;6.766.666.666.666.660;3.766.666.666.666.660;17.333.333.333.333.300;1.0
17.03.2015;8.200.000.000.000.000;6.866.666.666.666.660;5.0;9.936.666.666.666.660;5.0;0.0;0.0;;7.166.666.666.666.660;5.133.333.333.333.330;16.0;13.333.333.333.333.300
18.03.2015;10.200.000.000.000.000;6.533.333.333.333.330;6.0;9.952.666.666.666.660;26.666.666.666.666.600;0.0;0.0;;7.733.333.333.333.330;06. Jul;12.0;13.333.333.333.333.300
19.03.2015;8.533.333.333.333.330;7.366.666.666.666.660;6.0;9.952.333.333.333.330;16.666.666.666.666.600;0.0;0.0;;8.166.666.666.666.660;6.133.333.333.333.330;29.333.333.333.333.300;16.666.666.666.666.600
20.03.2015;7.233.333.333.333.330;69.0;5.0;9.932.666.666.666.660;13.333.333.333.333.300;0.0;0.0;;6.666.666.666.666.660;4.366.666.666.666.660;16.0;1.0
21.03.2015;8.466.666.666.666.660;67.0;6.0;9.885.666.666.666.660;-3.276.666.666.666.660;0.0;0.0;;7.233.333.333.333.330;5.533.333.333.333.330;18.666.666.666.666.600;16.666.666.666.666.600
22.03.2015;07. Jul;62.0;6.666.666.666.666.660;9.896.666.666.666.660;8.0;0.0;0.0;;6.466.666.666.666.660;04. Jun;5.333.333.333.333.330;23.333.333.333.333.300
23.03.2015;9.333.333.333.333.330;60.333.333.333.333.300;7.0;9.869.666.666.666.660;4.333.333.333.333.330;0.0;0.0;;7.033.333.333.333.330;5.833.333.333.333.330;30.666.666.666.666.600;16.666.666.666.666.600
24.03.2015;9.533.333.333.333.330;63.0;6.666.666.666.666.660;979.6;3.0;0.0;-999.0;;7.033.333.333.333.330;5.666.666.666.666.660;24.0;13.333.333.333.333.300
25.03.2015;08. Jan;78.0;6.666.666.666.666.660;9.768.000.000.000.000;8.0;03. Mrz;-999.0;;8.333.333.333.333.330;6.133.333.333.333.330;29.333.333.333.333.300;23.333.333.333.333.300
26.03.2015;6.866.666.666.666.660;7.966.666.666.666.660;7.0;9.828.666.666.666.660;7.666.666.666.666.660;0.9;-999.0;;7.900.000.000.000.000;05. Mrz;18.666.666.666.666.600;23.333.333.333.333.300
27.03.2015;8.366.666.666.666.660;60.333.333.333.333.300;8.0;9.921.333.333.333.330;6.333.333.333.333.330;0.0;-999.0;;6.333.333.333.333.330;4.833.333.333.333.330;25.333.333.333.333.300;2.0
28.03.2015;7.533.333.333.333.330;6.866.666.666.666.660;8.333.333.333.333.330;9.934.666.666.666.660;7.0;0.3;0.0;;68.999.999.999.999.900;4.666.666.666.666.660;14.666.666.666.666.600;26.666.666.666.666.600
29.03.2015;11.199.999.999.999.900;7.633.333.333.333.330;9.0;983.6;8.0;11. Jan;0.0;;10.133.333.333.333.300;9.066.666.666.666.660;20.0;4.666.666.666.666.660
30.03.2015;10. Jun;61.666.666.666.666.600;8.333.333.333.333.330;9.824.666.666.666.660;7.333.333.333.333.330;0.2;0.0;;07. Jul;7.0;21.333.333.333.333.300;26.666.666.666.666.600
31.03.2015;12.200.000.000.000.000;6.533.333.333.333.330;8.333.333.333.333.330;9.832.666.666.666.660;4.666.666.666.666.660;3.0;0.0;;09. Apr;8.966.666.666.666.660;21.333.333.333.333.300;5.666.666.666.666.660
01.04.2015;5.266.666.666.666.660;7.133.333.333.333.330;8.333.333.333.333.330;9.951.666.666.666.660;5.333.333.333.333.330;03. Sep;0.0;;6.133.333.333.333.330;30.666.666.666.666.600;25.333.333.333.333.300;3.0
02.04.2015;6.333.333.333.333.330;82.0;7.666.666.666.666.660;9.908.000.000.000.000;7.333.333.333.333.330;09. Apr;0.0;;7.866.666.666.666.660;5.0;20.0;4.0
03.04.2015;53.999.999.999.999.900;7.833.333.333.333.330;7.333.333.333.333.330;9.919.666.666.666.660;4.333.333.333.333.330;5.0;0.0;;6.966.666.666.666.660;35.666.666.666.666.600;22.666.666.666.666.600;16.666.666.666.666.600
04.04.2015;5.933.333.333.333.330;9.266.666.666.666.660;7.0;9.850.333.333.333.330;7.666.666.666.666.660;11. Feb;0.0;;8.633.333.333.333.330;53.999.999.999.999.900;21.333.333.333.333.300;13.333.333.333.333.300
05.04.2015;05. Mai;55.666.666.666.666.600;7.666.666.666.666.660;9.926.333.333.333.330;5.0;0.0;0.0;;4.566.666.666.666.660;01. Aug;13.333.333.333.333.300;2.0
06.04.2015;4.733.333.333.333.330;55.666.666.666.666.600;8.0;9.993.000.000.000.000;4.0;0.0;0.0;;04. Mai;11.666.666.666.666.600;29.333.333.333.333.300;23.333.333.333.333.300
07.04.2015;7.266.666.666.666.660;50.666.666.666.666.600;8.0;10.058.666.666.666.600;2.0;0.0;0.0;;04. Aug;02. Sep;22.666.666.666.666.600;23.333.333.333.333.300
08.04.2015;9.066.666.666.666.660;55.0;8.0;10.028.666.666.666.600;33.333.333.333.333.300;0.0;0.0;;5.966.666.666.666.660;4.666.666.666.666.660;28.0;16.666.666.666.666.600
09.04.2015;13.366.666.666.666.600;48.666.666.666.666.600;8.0;9.979.333.333.333.330;13.333.333.333.333.300;0.0;0.0;;6.733.333.333.333.330;7.466.666.666.666.660;16.0;13.333.333.333.333.300
10.04.2015;14. Mai;47.666.666.666.666.600;8.333.333.333.333.330;9.934.666.666.666.660;3.0;0.0;0.0;;6.633.333.333.333.330;7.933.333.333.333.330;14.666.666.666.666.600;16.666.666.666.666.600
11.04.2015;13.466.666.666.666.600;56.666.666.666.666.600;8.666.666.666.666.660;996.6;7.333.333.333.333.330;02. Jan;0.0;;8.733.333.333.333.330;9.133.333.333.333.330;18.666.666.666.666.600;3.0
12.04.2015;14. Jan;61.333.333.333.333.300;8.0;10.005.666.666.666.600;3.0;0.0;0.0;;9.133.333.333.333.330;9.566.666.666.666.660;21.333.333.333.333.300;16.666.666.666.666.600
13.04.2015;13.766.666.666.666.600;57.0;8.333.333.333.333.330;10.016.666.666.666.600;4.0;0.0;0.0;;8.166.666.666.666.660;8.733.333.333.333.330;29.333.333.333.333.300;16.666.666.666.666.600
14.04.2015;15.133.333.333.333.300;51.666.666.666.666.600;8.666.666.666.666.660;1000.5;26.666.666.666.666.600;0.0;0.0;;7.733.333.333.333.330;9.066.666.666.666.660;22.666.666.666.666.600;13.333.333.333.333.300
15.04.2015;17.966.666.666.666.600;43.333.333.333.333.300;8.666.666.666.666.660;9.911.999.999.999.990;36.666.666.666.666.600;0.0;0.0;;76.000.000.000.000.000;10.233.333.333.333.300;20.0;2.0
16.04.2015;19.433.333.333.333.300;38.333.333.333.333.300;8.666.666.666.666.660;9.867.000.000.000.000;4.0;12. Jan;0.0;;8.366.666.666.666.660;11.433.333.333.333.300;18.666.666.666.666.600;3.0
17.04.2015;11. Sep;93.0;5.333.333.333.333.330;9.864.666.666.666.660;8.0;23. Apr;0.0;;12.966.666.666.666.600;11.266.666.666.666.600;20.0;26.666.666.666.666.600
18.04.2015;09. Sep;54.666.666.666.666.600;8.333.333.333.333.330;993.1;4.0;0.0;0.0;;6.066.666.666.666.660;53.999.999.999.999.900;14.666.666.666.666.600;23.333.333.333.333.300
19.04.2015;14.133.333.333.333.300;31.333.333.333.333.300;9.0;9.888.333.333.333.330;16.666.666.666.666.600;0.0;0.0;;04. Jul;6.433.333.333.333.330;9.333.333.333.333.330;23.333.333.333.333.300
20.04.2015;13.566.666.666.666.600;47.333.333.333.333.300;7.666.666.666.666.660;9.951.666.666.666.660;3.0;0.0;0.0;;71.000.000.000.000.000;7.900.000.000.000.000;21.333.333.333.333.300;26.666.666.666.666.600
21.04.2015;16.233.333.333.333.300;43.0;8.666.666.666.666.660;9.986.666.666.666.660;1.0;0.0;0.0;;7.066.666.666.666.660;09. Jan;22.666.666.666.666.600;16.666.666.666.666.600
22.04.2015;15.366.666.666.666.600;48.0;8.0;9.947.333.333.333.330;2.0;0.0;0.0;;07. Aug;9.299.999.999.999.990;25.333.333.333.333.300;2.0
23.04.2015;12.433.333.333.333.300;52.666.666.666.666.600;8.0;9.888.333.333.333.330;13.333.333.333.333.300;0.0;0.0;;7.033.333.333.333.330;7.333.333.333.333.330;29.333.333.333.333.300;16.666.666.666.666.600
24.04.2015;15.366.666.666.666.600;44.666.666.666.666.600;8.333.333.333.333.330;9.864.666.666.666.660;4.0;0.2;0.0;;6.833.333.333.333.330;8.566.666.666.666.660;21.333.333.333.333.300;1.0
25.04.2015;14.233.333.333.333.300;7.666.666.666.666.660;7.0;9.839.333.333.333.330;7.666.666.666.666.660;04. Jun;0.0;;12.366.666.666.666.600;11.799.999.999.999.900;24.0;23.333.333.333.333.300
26.04.2015;16.633.333.333.333.300;6.833.333.333.333.330;9.0;9.798.333.333.333.330;4.0;02. Jan;0.0;;12.766.666.666.666.600;13. Jan;21.333.333.333.333.300;16.666.666.666.666.600
27.04.2015;14.933.333.333.333.300;87.0;7.0;9.738.333.333.333.330;7.333.333.333.333.330;12. Aug;0.0;;14.566.666.666.666.600;13.466.666.666.666.600;29.333.333.333.333.300;2.0
28.04.2015;9.433.333.333.333.330;7.533.333.333.333.330;7.0;9.896.999.999.999.990;7.666.666.666.666.660;01. Feb;0.0;;8.766.666.666.666.660;7.233.333.333.333.330;26.666.666.666.666.600;2.0
29.04.2015;11.199.999.999.999.900;6.533.333.333.333.330;8.0;9.892.333.333.333.330;4.333.333.333.333.330;0.0;0.0;;8.466.666.666.666.660;7.733.333.333.333.330;21.333.333.333.333.300;13.333.333.333.333.300
30.04.2015;13.300.000.000.000.000;54.0;8.666.666.666.666.660;9.879.666.666.666.660;6.0;16. Mrz;0.0;;8.166.666.666.666.660;8.666.666.666.666.660;17.333.333.333.333.300;33.333.333.333.333.300
01.05.2015;10.066.666.666.666.600;9.666.666.666.666.660;6.333.333.333.333.330;9.782.333.333.333.330;7.666.666.666.666.660;21. Aug;-999.0;;11. Sep;9.766.666.666.666.660;29.333.333.333.333.300;16.666.666.666.666.600
02.05.2015;13. Jan;8.533.333.333.333.330;7.333.333.333.333.330;9.836.666.666.666.660;7.333.333.333.333.330;07. Aug;-999.0;;12.799.999.999.999.900;11.566.666.666.666.600;26.666.666.666.666.600;16.666.666.666.666.600
03.05.2015;16. Aug;89.0;8.333.333.333.333.330;9.798.666.666.666.660;7.666.666.666.666.660;10. Sep;-999.0;;17.166.666.666.666.600;15.666.666.666.666.600;16.0;23.333.333.333.333.300
04.05.2015;20.333.333.333.333.300;63.333.333.333.333.300;9.0;9.818.333.333.333.330;6.666.666.666.666.660;0.0;-999.0;;14. Sep;15.766.666.666.666.600;16.0;2.0
05.05.2015;17.900.000.000.000.000;7.333.333.333.333.330;9.0;9.800.666.666.666.660;7.666.666.666.666.660;01. Jan;-999.0;;14.866.666.666.666.600;14.799.999.999.999.900;21.333.333.333.333.300;3.0
06.05.2015;16. Mrz;55.666.666.666.666.600;8.666.666.666.666.660;988.5;5.666.666.666.666.660;0.0;-999.0;;9.933.333.333.333.330;11.200.000.000.000.000;20.0;3.0
07.05.2015;15.366.666.666.666.600;49.333.333.333.333.300;8.666.666.666.666.660;9.918.333.333.333.330;4.666.666.666.666.660;0.0;-999.0;;08. Mai;9.799.999.999.999.990;13.333.333.333.333.300;2.0
08.05.2015;17.033.333.333.333.300;51.333.333.333.333.300;8.666.666.666.666.660;9.873.000.000.000.000;33.333.333.333.333.300;0.0;-999.0;;9.799.999.999.999.990;11.299.999.999.999.900;16.0;2.0
09.05.2015;17.666.666.666.666.600;66.0;8.333.333.333.333.330;9.937.666.666.666.660;6.333.333.333.333.330;0.1;-999.0;;13.200.000.000.000.000;13.766.666.666.666.600;20.0;33.333.333.333.333.300
10.05.2015;18. Feb;52.666.666.666.666.600;9.0;9.986.666.666.666.660;16.666.666.666.666.600;0.0;-999.0;;10.433.333.333.333.300;12.266.666.666.666.600;17.333.333.333.333.300;13.333.333.333.333.300
